id,product_id,store_id,price,original_price,currency,availability,url,last_updated
1,1,1,5448900,,COP,disponible,https://www.alkosto.com/producto/1,2026-03-10
2,1,2,5567990,6908900,COP,disponible,https://www.exito.com/producto/1,2026-03-11
3,1,3,5604000,,COP,disponible,https://www.falabella.com.co/producto/1,2026-02-28
4,1,4,5794900,,COP,disponible,https://www.mercadolibre.com.co/producto/1,2026-03-06
5,2,3,5558990,6177900,COP,disponible,https://www.falabella.com.co/producto/2,2026-03-06
6,2,2,6111990,6912900,COP,pocas_unidades,https://www.exito.com/producto/2,2026-03-09
7,2,5,5901900,6508990,COP,pocas_unidades,https://www.amazon.com.co/producto/2,2026-02-26
8,3,1,4566900,5933990,COP,agotado,https://www.alkosto.com/producto/3,2026-03-08
9,3,5,4946900,,COP,disponible,https://www.amazon.com.co/producto/3,2026-03-11
10,3,4,4481000,,COP,disponible,https://www.mercadolibre.com.co/producto/3,2026-03-07
11,3,3,4334900,5334000,COP,pocas_unidades,https://www.falabella.com.co/producto/3,2026-03-04
12,4,3,3065990,,COP,disponible,https://www.falabella.com.co/producto/4,2026-03-10
13,4,2,3182990,4036900,COP,agotado,https://www.exito.com/producto/4,2026-03-09
14,4,1,3009990,,COP,agotado,https://www.alkosto.com/producto/4,2026-03-06
15,4,5,2914900,,COP,disponible,https://www.amazon.com.co/producto/4,2026-03-05
16,4,4,2530000,3007990,COP,disponible,https://www.mercadolibre.com.co/producto/4,2026-03-09
17,5,1,5056900,,COP,disponible,https://www.alkosto.com/producto/5,2026-03-02
18,5,4,4379000,,COP,disponible,https://www.mercadolibre.com.co/producto/5,2026-03-11
19,5,2,4066900,4457900,COP,pocas_unidades,https://www.exito.com/producto/5,2026-03-09
20,6,3,2323900,2755000,COP,disponible,https://www.falabella.com.co/producto/6,2026-03-12
21,6,4,2539990,3276900,COP,disponible,https://www.mercadolibre.com.co/producto/6,2026-02-27
22,6,2,2637990,3391990,COP,disponible,https://www.exito.com/producto/6,2026-03-09
23,6,5,2175900,2602990,COP,agotado,https://www.amazon.com.co/producto/6,2026-03-07
24,6,1,2313000,2658000,COP,disponible,https://www.alkosto.com/producto/6,2026-03-05
25,7,5,3902990,4966990,COP,disponible,https://www.amazon.com.co/producto/7,2026-03-10
26,7,1,3532000,4269000,COP,disponible,https://www.alkosto.com/producto/7,2026-03-04
27,7,3,3865900,4469000,COP,disponible,https://www.falabella.com.co/producto/7,2026-03-12
28,7,2,3717000,4313900,COP,disponible,https://www.exito.com/producto/7,2026-03-04
29,8,2,3314990,,COP,pocas_unidades,https://www.exito.com/producto/8,2026-03-09
30,8,5,3316990,,COP,disponible,https://www.amazon.com.co/producto/8,2026-03-12
31,8,3,3269900,,COP,pocas_unidades,https://www.falabella.com.co/producto/8,2026-02-27
32,8,1,2636990,,COP,disponible,https://www.alkosto.com/producto/8,2026-03-11
33,8,4,2442900,3064900,COP,disponible,https://www.mercadolibre.com.co/producto/8,2026-03-07
34,9,3,8383000,10864900,COP,pocas_unidades,https://www.falabella.com.co/producto/9,2026-03-06
35,9,1,7016900,,COP,disponible,https://www.alkosto.com/producto/9,2026-03-12
36,9,4,8580990,9160000,COP,disponible,https://www.mercadolibre.com.co/producto/9,2026-03-03
37,10,2,6030990,,COP,disponible,https://www.exito.com/producto/10,2026-03-07
38,10,3,6053990,7557990,COP,disponible,https://www.falabella.com.co/producto/10,2026-03-02
39,10,5,6201990,7780990,COP,disponible,https://www.amazon.com.co/producto/10,2026-03-02
40,10,1,6784990,7540900,COP,pocas_unidades,https://www.alkosto.com/producto/10,2026-03-03
41,11,5,7871990,10135900,COP,pocas_unidades,https://www.amazon.com.co/producto/11,2026-03-03
42,11,2,8416900,,COP,disponible,https://www.exito.com/producto/11,2026-03-04
43,11,1,6637900,8217000,COP,pocas_unidades,https://www.alkosto.com/producto/11,2026-02-28
44,12,1,5559900,6907900,COP,pocas_unidades,https://www.alkosto.com/producto/12,2026-02-27
45,12,4,6641900,7558900,COP,pocas_unidades,https://www.mercadolibre.com.co/producto/12,2026-02-27
46,12,2,7189990,,COP,pocas_unidades,https://www.exito.com/producto/12,2026-03-04
